lat,lon,university,fuel,cafe,parking,parking_entrance,fast_food,marketplace,restaurant,hospital,school,kindergarten,townhall - community_centre,police,place_of_worship,bank,atm
10.787519,106.660654,0,5,31,2,0,15,5,34,3,25,1,0,0,33,11,7
10.726471,106.61161,0,2,1,3,0,0,1,0,0,3,1,0,0,0,1,3
10.7140893,106.7384901,1,2,0,0,0,0,0,0,0,6,0,0,1,3,0,1
10.754019,106.628653,0,10,3,1,0,4,3,3,1,19,0,0,1,11,3,5
10.784827,106.602068,0,3,1,0,0,0,0,0,2,5,2,0,0,1,0,1
10.781053,106.653699,1,10,9,0,0,6,5,7,3,27,1,0,1,22,4,6
10.873568,106.655109,0,3,5,0,0,0,0,0,0,5,0,0,0,1,0,2
10.7582107,106.6127658,0,6,2,0,0,2,2,1,0,4,2,0,0,1,4,5
21.0329542,105.7935134,5,3,34,12,1,7,6,26,2,15,5,0,5,14,18,29
10.784296,106.629396,0,12,3,2,0,2,2,3,0,9,4,0,0,8,7,2
20.9358516,105.8431808,0,2,0,0,0,0,0,0,1,4,4,0,2,0,0,1
10.707021,106.599482,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
10.742969,106.655045,0,12,3,0,0,5,9,3,1,22,5,0,1,13,8,0
10.790148,106.621252,0,6,4,0,0,1,3,3,0,10,1,0,1,5,0,4
10.739332,106.616167,0,17,6,3,0,3,2,31,6,5,2,0,0,2,4,3
10.7575395,106.645661,0,13,1,0,0,3,3,12,1,28,4,0,2,21,26,6
10.85126,106.600329,0,4,0,0,0,1,2,0,0,2,0,0,0,2,0,6
10.773698,106.664668,5,5,46,2,0,15,3,64,8,16,3,0,1,8,32,8
10.7860864,106.6415417,1,6,9,7,0,2,5,7,2,15,4,0,2,8,15,6
10.7936571,106.640272,1,8,10,4,0,3,5,6,1,17,4,0,1,11,13,9
20.9805109,105.7752236,2,3,1,1,0,1,0,4,1,11,2,0,0,3,1,13
21.0020685,105.8081994,4,6,17,2,4,20,4,47,1,25,7,0,4,6,19,32
10.7452618,106.7292687,0,6,2,1,0,1,0,0,2,6,1,0,0,1,2,2
10.793731,106.649938,0,5,13,5,0,3,4,10,3,19,5,0,1,20,13,11
10.78298,106.599047,0,3,1,0,0,0,0,0,1,5,1,0,0,0,0,1
10.795618,106.620492,0,3,4,2,0,1,1,5,0,9,1,0,1,4,0,3
10.844137,106.668033,0,3,9,0,0,1,1,0,0,12,0,0,0,13,8,5
10.8725327,106.7303727,0,9,0,0,0,0,2,1,0,5,1,0,0,5,1,0
21.1624019,105.8511503,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
10.8405911,106.6429401,0,4,6,0,0,0,1,2,0,10,0,0,1,3,0,3
21.1143647,105.8018788,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0
21.039894,105.812921,2,6,21,8,1,2,4,30,5,16,5,0,4,22,10,36
21.029742,105.762798,3,0,4,4,0,1,0,5,2,15,2,0,1,3,2,4
20.978724,105.796025,7,1,9,0,0,1,1,3,1,11,3,0,3,4,2,15
10.82951,106.639651,0,2,1,0,0,0,1,2,0,4,0,0,0,0,0,2
10.880142,106.639298,0,1,1,0,0,0,1,0,2,6,1,0,0,1,0,2
21.010684,105.819898,3,5,21,6,2,20,5,38,5,15,4,0,9,6,18,73
10.770157,106.614177,0,7,1,0,0,1,2,1,0,5,1,0,0,0,2,1
10.7436251,106.7322227,0,6,2,1,0,1,0,0,1,6,1,0,0,0,2,2
21.0306889,105.7851193,10,3,27,20,19,10,5,33,4,16,3,0,3,10,16,18
21.0155759,105.8327116,3,4,50,6,3,11,3,47,6,28,8,0,11,21,33,52
10.738952,106.614714,0,14,6,3,0,3,2,30,6,5,2,0,0,2,4,3
10.830286,106.705637,4,4,9,0,0,0,1,1,0,3,1,0,7,3,3,1
20.9364726,105.7270864,0,2,0,0,0,0,0,0,0,3,1,0,0,1,0,0
20.9528777,105.8342297,0,1,1,2,0,0,0,0,2,5,3,0,0,1,2,0
20.977166,105.824316,1,3,2,3,0,0,1,2,4,7,5,0,1,3,0,0
21.0578123,105.916308,0,0,9,9,0,0,1,9,0,7,3,0,2,1,0,0
10.7532027,106.6771517,3,18,22,1,0,8,6,43,10,22,3,0,0,22,35,12
20.9892085,105.8178418,0,0,5,1,0,0,2,6,3,16,4,0,3,3,0,0
10.779712,106.6204422,0,12,1,0,0,2,3,1,0,5,2,0,0,2,1,2
10.814476,106.697843,2,8,7,1,0,1,2,14,0,5,1,0,2,5,5,7
